# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000    0.000007315    0.000007315    0.000007315
    0.051081803    0.000373668    0.000373668    0.000373668
    0.101163606    0.000740156    0.000740156    0.000740156
    0.151245409    0.001106911    0.001106911    0.001106911
    0.201327212    0.001474067    0.001474067    0.001474067
    0.251409015    0.001841756    0.001841756    0.001841756
    0.301490818    0.002210113    0.002210113    0.002210113
    0.351572621    0.002579271    0.002579271    0.002579271
    0.401654424    0.002949367    0.002949368    0.002949367
    0.451736227    0.003320538    0.003320538    0.003320538
    0.501818030    0.003692921    0.003692921    0.003692921
    0.551899833    0.004066656    0.004066656    0.004066656
    0.601981636    0.004441885    0.004441885    0.004441884
    0.652063439    0.004818749    0.004818749    0.004818749
    0.702145242    0.005197394    0.005197395    0.005197394
    0.752227045    0.005577968    0.005577968    0.005577968
    0.802308848    0.005960619    0.005960620    0.005960619
    0.852390651    0.006345501    0.006345501    0.006345500
    0.902472454    0.006732767    0.006732768    0.006732767
    0.952554257    0.007122576    0.007122577    0.007122576
    1.002636060    0.007515090    0.007515090    0.007515089
    1.052717863    0.007910472    0.007910473    0.007910472
    1.102799666    0.008308892    0.008308893    0.008308892
    1.152881469    0.008710522    0.008710523    0.008710522
    1.202963272    0.009115539    0.009115539    0.009115538
    1.253045075    0.009524124    0.009524124    0.009524123
    1.303126878    0.009936463    0.009936464    0.009936463
    1.353208681    0.010352749    0.010352749    0.010352748
    1.403290484    0.010773177    0.010773178    0.010773176
    1.453372287    0.011197952    0.011197952    0.011197951
    1.503454090    0.011627281    0.011627281    0.011627280
    1.553535893    0.012061381    0.012061382    0.012061380
    1.603617696    0.012500475    0.012500476    0.012500474
    1.653699499    0.012944794    0.012944795    0.012944793
    1.703781302    0.013394575    0.013394576    0.013394574
    1.753863105    0.013850067    0.013850067    0.013850066
    1.803944908    0.014311524    0.014311525    0.014311523
    1.854026711    0.014779213    0.014779214    0.014779212
    1.904108514    0.015253411    0.015253412    0.015253410
    1.954190317    0.015734403    0.015734404    0.015734402
    2.004272120    0.016222489    0.016222490    0.016222488
    2.054353923    0.016717980    0.016717981    0.016717978
    2.104435726    0.017221199    0.017221200    0.017221198
    2.154517529    0.017732487    0.017732488    0.017732485
    2.204599332    0.018252195    0.018252196    0.018252194
    2.254681135    0.018780694    0.018780695    0.018780693
    2.304762938    0.019318371    0.019318372    0.019318369
    2.354844741    0.019865630    0.019865631    0.019865628
    2.404926544    0.020422897    0.020422898    0.020422896
    2.455008347    0.020990618    0.020990619    0.020990616
    2.505090150    0.021569261    0.021569263    0.021569260
    2.555171953    0.022159320    0.022159321    0.022159318
    2.605253756    0.022761313    0.022761314    0.022761311
    2.655335559    0.023375788    0.023375789    0.023375786
    2.705417362    0.024003321    0.024003323    0.024003319
    2.755499165    0.024644523    0.024644525    0.024644521
    2.805580968    0.025300039    0.025300041    0.025300037
    2.855662771    0.025970552    0.025970553    0.025970550
    2.905744574    0.026656785    0.026656787    0.026656783
    2.955826377    0.027359508    0.027359510    0.027359506
    3.005908180    0.028079537    0.028079539    0.028079535
    3.055989983    0.028817742    0.028817744    0.028817739
    3.106071786    0.029575048    0.029575050    0.029575046
    3.156153589    0.030352445    0.030352447    0.030352442
    3.206235392    0.031150989    0.031150991    0.031150986
    3.256317195    0.031971810    0.031971813    0.031971808
    3.306398998    0.032816122    0.032816124    0.032816119
    3.356480801    0.033685225    0.033685227    0.033685222
    3.406562604    0.034580519    0.034580522    0.034580516
    3.456644407    0.035503512    0.035503515    0.035503509
    3.506726210    0.036455833    0.036455836    0.036455830
    3.556808013    0.037439241    0.037439244    0.037439238
    3.606889816    0.038455643    0.038455646    0.038455640
    3.656971619    0.039507111    0.039507114    0.039507107
    3.707053422    0.040595897    0.040595900    0.040595893
    3.757135225    0.041724459    0.041724463    0.041724456
    3.807217028    0.042895484    0.042895488    0.042895480
    3.857298831    0.044111916    0.044111920    0.044111912
    3.907380634    0.045376989    0.045376994    0.045376985
    3.957462437    0.046694270    0.046694274    0.046694266
    4.007544240    0.048067697    0.048067702    0.048067693
    4.057626043    0.049501638    0.049501643    0.049501634
    4.107707846    0.051000951    0.051000956    0.051000947
    4.157789649    0.052571058    0.052571063    0.052571053
    4.207871452    0.054218032    0.054218038    0.054218027
    4.257953255    0.055948706    0.055948713    0.055948702
    4.308035058    0.057770798    0.057770804    0.057770793
    4.358116861    0.059693063    0.059693070    0.059693058
    4.408198664    0.061725488    0.061725496    0.061725483
    4.458280467    0.063879519    0.063879527    0.063879514
    4.508362270    0.066168352    0.066168361    0.066168347
    4.558444073    0.068607296    0.068607305    0.068607290
    4.608525876    0.071214227    0.071214238    0.071214222
    4.658607679    0.074010180    0.074010192    0.074010175
    4.708689482    0.077020102    0.077020115    0.077020097
    4.758771285    0.080273848    0.080273862    0.080273843
    4.808853088    0.083807503    0.083807518    0.083807498
    4.858934891    0.087665170    0.087665187    0.087665165
    4.909016694    0.091901429    0.091901449    0.091901425
    4.959098497    0.096584797    0.096584820    0.096584794
    5.009180301    0.101802697    0.101802723    0.101802695
    5.059262104    0.107668806    0.107668836    0.107668806
    5.109343907    0.114334258    0.114334293    0.114334260
    5.159425710    0.122005368    0.122005410    0.122005373
    5.209507513    0.130972906    0.130972957    0.130972916
    5.259589316    0.141663054    0.141663117    0.141663071
    5.309671119    0.154731751    0.154731832    0.154731780
    5.359752922    0.171252945    0.171253052    0.171252991
    5.409834725    0.193128799    0.193128948    0.193128875
    5.459916528    0.224076650    0.224076872    0.224076779
    5.509998331    0.272221504    0.272221861    0.272221737
    5.560080134    0.356535325    0.356535969    0.356535783
    5.610161937    0.505203169    0.505204435    0.505204142
    5.660243740    0.619427862    0.619429736    0.619429410
    5.710325543    0.593012676    0.593013876    0.593013598
    5.760407346    0.648937498    0.648937959    0.648937653
    5.810489149    0.872802991    0.872802920    0.872802480
    5.860570952    1.395424076    1.395423333    1.395422572
    5.910652755    2.346535407    2.346533832    2.346532745
    5.960734558    2.680617133    2.680616344    2.680615963
    6.010816361    2.133271848    2.133272987    2.133272551
    6.060898164    1.705618176    1.705620491    1.705619843
    6.110979967    1.351546810    1.351548551    1.351547846
    6.161061770    1.268426337    1.268427459    1.268426625
    6.211143573    1.530057363    1.530058460    1.530057298
    6.261225376    1.790951478    1.790952697    1.790951218
    6.311307179    1.902417656    1.902418772    1.902416613
    6.361388982    2.039441418    2.039442816    2.039440788
    6.411470785    2.693869113    2.693871123    2.693869119
    6.461552588    3.566074048    3.566075725    3.566073949
    6.511634391    3.578111179    3.578111789    3.578111144
    6.561716194    3.165636883    3.165636745    3.165636949
    6.611797997    2.761945004    2.761944784    2.761944691
    6.661879800    2.650157577    2.650157137    2.650156193
    6.711961603    2.571482538    2.571482576    2.571480664
    6.762043406    2.437521871    2.437522764    2.437520036
    6.812125209    2.708261522    2.708262045    2.708259399
    6.862207012    3.021448161    3.021447041    3.021445832
    6.912288815    2.956380413    2.956378269    2.956377961
    6.962370618    2.989594489    2.989592109    2.989591814
    7.012452421    2.901833004    2.901831124    2.901831243
    7.062534224    2.686451689    2.686449623    2.686449880
    7.112616027    2.728272603    2.728270095    2.728269916
    7.162697830    3.087800892    3.087797795    3.087797600
    7.212779633    3.043872222    3.043869781    3.043869551
    7.262861436    3.300513158    3.300511808    3.300511161
    7.312943239    4.013115973    4.013115146    4.013115332
    7.363025042    4.495693641    4.495693924    4.495694949
    7.413106845    4.848485919    4.848487763    4.848488309
    7.463188648    4.178840291    4.178840947    4.178841924
    7.513270451    3.036420201    3.036420235    3.036419984
    7.563352254    2.710193006    2.710192965    2.710190772
    7.613434057    2.997537617    2.997537853    2.997534393
    7.663515860    3.558042110    3.558042527    3.558039065
    7.713597663    3.630279255    3.630280291    3.630277580
    7.763679466    3.642552315    3.642554738    3.642550857
    7.813761269    3.832154585    3.832157594    3.832153049
    7.863843072    4.030640954    4.030642618    4.030640153
    7.913924875    3.987115368    3.987116414    3.987114944
    7.964006678    4.359170655    4.359170533    4.359168322
    8.014088481    4.901471360    4.901468577    4.901467457
    8.064170284    4.514932165    4.514928272    4.514928700
    8.114252087    3.981092046    3.981088393    3.981087888
    8.164333890    3.730603077    3.730600338    3.730598935
    8.214415693    4.052439570    4.052437683    4.052435145
    8.264497496    4.709932387    4.709930555    4.709928041
    8.314579299    5.045371424    5.045369640    5.045368641
    8.364661102    4.995431486    4.995430263    4.995428793
    8.414742905    5.166658195    5.166657354    5.166654574
    8.464824708    5.019973654    5.019972104    5.019970860
    8.514906511    4.717937050    4.717936464    4.717937570
    8.564988314    4.246088913    4.246090227    4.246090712
    8.615070117    4.543049010    4.543052684    4.543050434
    8.665151920    5.462593361    5.462598982    5.462594584
    8.715233723    5.821534726    5.821539720    5.821534241
    8.765315526    4.925323536    4.925326971    4.925322750
    8.815397329    4.024163452    4.024165099    4.024162587
    8.865479132    4.092000427    4.092001134    4.091999284
    8.915560935    4.922775633    4.922778464    4.922774499
    8.965642738    5.714695209    5.714699889    5.714694626
    9.015724541    5.813745455    5.813749025    5.813743730
    9.065806344    6.007415948    6.007418981    6.007413943
    9.115888147    5.834001245    5.834004007    5.834000041
    9.165969950    5.854583281    5.854584743    5.854581383
    9.216051753    6.669522880    6.669524234    6.669519463
    9.266133556    7.681969135    7.681971183    7.681967202
    9.316215359    7.634260140    7.634262854    7.634262218
    9.366297162    6.906300965    6.906303229    6.906305415
    9.416378965    5.977862611    5.977863402    5.977867785
    9.466460768    5.583542324    5.583541930    5.583547894
    9.516542571    5.673766040    5.673764422    5.673770798
    9.566624374    6.424436770    6.424435894    6.424440417
    9.616706177    7.419308528    7.419307710    7.419311749
    9.666787980    7.074077834    7.074076146    7.074081202
    9.716869783    6.661207505    6.661204530    6.661209167
    9.766951586    7.013565681    7.013562051    7.013567262
    9.817033389    7.641372168    7.641367824    7.641374611
    9.867115192    7.805109418    7.805104448    7.805110229
    9.917196995    7.061790291    7.061785734    7.061791641
    9.967278798    6.610031305    6.610027278    6.610032957
   10.017360601    7.086435562    7.086431453    7.086436443
   10.067442404    8.153088622    8.153085493    8.153087611
   10.117524207   10.259617873   10.259616139   10.259616864
   10.167606010   11.955590580   11.955591769   11.955594234
   10.217687813   12.500324155   12.500328641   12.500331519
   10.267769616   11.512389059   11.512394433   11.512397393
   10.317851419   10.129340513   10.129341618   10.129344811
   10.367933222   10.066830071   10.066828594   10.066830775
   10.418015025   10.037364560   10.037362176   10.037365065
   10.468096828    9.331111310    9.331108733    9.331112280
   10.518178631    8.737244924    8.737243463    8.737245852
   10.568260434    9.191634459    9.191633259    9.191634807
   10.618342237   10.771302683   10.771301448   10.771304689
   10.668424040   12.502937823   12.502934819   12.502939769
   10.718505843   13.949570287   13.949567855   13.949572768
   10.768587646   14.549584766   14.549582559   14.549587526
   10.818669449   15.594337809   15.594335839   15.594336375
   10.868751252   17.428354375   17.428355455   17.428351909
   10.918833055   18.956699807   18.956703781   18.956699195
   10.968914858   21.011985792   21.011991885   21.011984727
