# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.001000000    6.525162986    6.525163289    6.525162820
    0.051081803    6.525290150    6.525290452    6.525289984
    0.101163606    6.525661920    6.525662223    6.525661754
    0.151245409    6.526278431    6.526278734    6.526278265
    0.201327212    6.527139906    6.527140209    6.527139740
    0.251409015    6.528246656    6.528246958    6.528246489
    0.301490818    6.529599081    6.529599384    6.529598914
    0.351572621    6.531197671    6.531197974    6.531197505
    0.401654424    6.533043008    6.533043311    6.533042841
    0.451736227    6.535135761    6.535136064    6.535135594
    0.501818030    6.537476694    6.537476998    6.537476527
    0.551899833    6.540066663    6.540066966    6.540066495
    0.601981636    6.542906615    6.542906919    6.542906448
    0.652063439    6.545997595    6.545997899    6.545997428
    0.702145242    6.549340743    6.549341047    6.549340575
    0.752227045    6.552937295    6.552937599    6.552937127
    0.802308848    6.556788589    6.556788893    6.556788420
    0.852390651    6.560896060    6.560896364    6.560895891
    0.902472454    6.565261248    6.565261552    6.565261079
    0.952554257    6.569885796    6.569886101    6.569885627
    1.002636060    6.574771455    6.574771760    6.574771285
    1.052717863    6.579920083    6.579920388    6.579919913
    1.102799666    6.585333650    6.585333956    6.585333480
    1.152881469    6.591014240    6.591014546    6.591014069
    1.202963272    6.596964053    6.596964359    6.596963881
    1.253045075    6.603185408    6.603185714    6.603185236
    1.303126878    6.609680747    6.609681054    6.609680575
    1.353208681    6.616452639    6.616452946    6.616452466
    1.403290484    6.623503780    6.623504088    6.623503607
    1.453372287    6.630837003    6.630837310    6.630836829
    1.503454090    6.638455274    6.638455582    6.638455100
    1.553535893    6.646361705    6.646362013    6.646361530
    1.603617696    6.654559551    6.654559860    6.654559375
    1.653699499    6.663052219    6.663052529    6.663052043
    1.703781302    6.671843274    6.671843584    6.671843097
    1.753863105    6.680936440    6.680936751    6.680936263
    1.803944908    6.690335612    6.690335922    6.690335433
    1.854026711    6.700044855    6.700045166    6.700044676
    1.904108514    6.710068418    6.710068729    6.710068238
    1.954190317    6.720410736    6.720411048    6.720410555
    2.004272120    6.731076439    6.731076752    6.731076257
    2.054353923    6.742070361    6.742070675    6.742070179
    2.104435726    6.753397548    6.753397862    6.753397364
    2.154517529    6.765063265    6.765063579    6.765063080
    2.204599332    6.777073008    6.777073324    6.777072823
    2.254681135    6.789432517    6.789432832    6.789432330
    2.304762938    6.802147778    6.802148095    6.802147591
    2.354844741    6.815225047    6.815225364    6.815224858
    2.404926544    6.828670851    6.828671169    6.828670662
    2.455008347    6.842492012    6.842492330    6.842491821
    2.505090150    6.856695652    6.856695972    6.856695460
    2.555171953    6.871289216    6.871289537    6.871289023
    2.605253756    6.886280485    6.886280807    6.886280291
    2.655335559    6.901677595    6.901677917    6.901677400
    2.705417362    6.917489056    6.917489379    6.917488859
    2.755499165    6.933723772    6.933724096    6.933723574
    2.805580968    6.950391067    6.950391392    6.950390867
    2.855662771    6.967500704    6.967501030    6.967500503
    2.905744574    6.985062915    6.985063242    6.985062713
    2.955826377    7.003088430    7.003088758    7.003088226
    3.005908180    7.021588503    7.021588833    7.021588298
    3.055989983    7.040574952    7.040575282    7.040574745
    3.106071786    7.060060188    7.060060520    7.060059980
    3.156153589    7.080057263    7.080057596    7.080057052
    3.206235392    7.100579903    7.100580238    7.100579691
    3.256317195    7.121642565    7.121642901    7.121642352
    3.306398998    7.143260483    7.143260820    7.143260267
    3.356480801    7.165449724    7.165450063    7.165449506
    3.406562604    7.188227253    7.188227593    7.188227033
    3.456644407    7.211610999    7.211611342    7.211610778
    3.506726210    7.235619934    7.235620278    7.235619710
    3.556808013    7.260274150    7.260274496    7.260273924
    3.606889816    7.285594956    7.285595304    7.285594728
    3.656971619    7.311604981    7.311605331    7.311604751
    3.707053422    7.338328285    7.338328637    7.338328053
    3.757135225    7.365790488    7.365790842    7.365790253
    3.807217028    7.394018912    7.394019269    7.394018675
    3.857298831    7.423042744    7.423043103    7.423042504
    3.907380634    7.452893211    7.452893573    7.452892969
    3.957462437    7.483603791    7.483604156    7.483603546
    4.007544240    7.515210437    7.515210805    7.515210189
    4.057626043    7.547751846    7.547752217    7.547751595
    4.107707846    7.581269756    7.581270130    7.581269502
    4.157789649    7.615809291    7.615809669    7.615809035
    4.207871452    7.651419364    7.651419745    7.651419104
    4.257953255    7.688153127    7.688153512    7.688152864
    4.308035058    7.726068516    7.726068906    7.726068250
    4.358116861    7.765228870    7.765229265    7.765228601
    4.408198664    7.805703671    7.805704070    7.805703398
    4.458280467    7.847569409    7.847569813    7.847569133
    4.508362270    7.890910624    7.890911035    7.890910345
    4.558444073    7.935821147    7.935821563    7.935820863
    4.608525876    7.982405596    7.982406020    7.982405310
    4.658607679    8.030781214    8.030781644    8.030780923
    4.708689482    8.081080106    8.081080544    8.081079812
    4.758771285    8.133452037    8.133452484    8.133451740
    4.808853088    8.188067926    8.188068384    8.188067626
    4.858934891    8.245124293    8.245124761    8.245123990
    4.909016694    8.304848969    8.304849449    8.304848663
    4.959098497    8.367508556    8.367509050    8.367508247
    5.009180301    8.433418319    8.433418828    8.433418008
    5.059262104    8.502955544    8.502956072    8.502955233
    5.109343907    8.576577953    8.576578502    8.576577642
    5.159425710    8.654849642    8.654850215    8.654849333
    5.209507513    8.738478529    8.738479132    8.738478224
    5.259589316    8.828371750    8.828372388    8.828371453
    5.309671119    8.925719315    8.925719997    8.925719030
    5.359752922    9.032121011    9.032121749    9.032120746
    5.409834725    9.149767915    9.149768726    9.149767680
    5.459916528    9.281615028    9.281615936    9.281614841
    5.509998331    9.430916217    9.430917253    9.430916100
    5.560080134    9.595610472    9.595611656    9.595610440
    5.610161937    9.734002768    9.734003929    9.734002693
    5.660243740    9.758978777    9.758979007    9.758977838
    5.710325543    9.878655570    9.878654863    9.878653651
    5.760407346   10.157907566   10.157906778   10.157905444
    5.810489149   10.510485444   10.510484744   10.510483271
    5.860570952   10.853652352   10.853651854   10.853650329
    5.910652755   10.726359633   10.726360172   10.726359120
    5.960734558    9.669359442    9.669361788    9.669360990
    6.010816361    9.205061195    9.205063743    9.205062401
    6.060898164    9.184011510    9.184012663    9.184011268
    6.110979967    9.421985794    9.421985736    9.421984325
    6.161061770    9.874855402    9.874855323    9.874853737
    6.211143573   10.234320843   10.234320971   10.234319321
    6.261225376   10.292247414   10.292247339   10.292245655
    6.311307179   10.383540424   10.383540380   10.383539095
    6.361388982   10.678010137   10.678010135   10.678009557
    6.411470785   11.009046039   11.009045568   11.009045250
    6.461552588   10.516293591   10.516291831   10.516292303
    6.511634391    9.638096906    9.638094914    9.638095671
    6.561716194    9.250183794    9.250182192    9.250182013
    6.611797997    9.251133290    9.251132113    9.251130891
    6.661879800    9.453410715    9.453409831    9.453408113
    6.711961603    9.451229183    9.451228846    9.451227322
    6.762043406    9.746327516    9.746326644    9.746325891
    6.812125209   10.010027082   10.010024636   10.010025468
    6.862207012    9.863380425    9.863377847    9.863379401
    6.912288815    9.737252622    9.737250747    9.737251566
    6.962370618    9.703826612    9.703825925    9.703826483
    7.012452421    9.651194315    9.651193966    9.651194333
    7.062534224    9.746644040    9.746643669    9.746643401
    7.112616027   10.181396059   10.181395932   10.181395364
    7.162697830   10.238378598   10.238379439   10.238379089
    7.212779633   10.279215457   10.279217726   10.279217025
    7.262861436   10.705765849   10.705768383   10.705767978
    7.312943239   10.687494710   10.687497283   10.687497584
    7.363025042   10.314732450   10.314735607   10.314734650
    7.413106845    9.495265225    9.495266784    9.495265343
    7.463188648    8.522061715    8.522061983    8.522059659
    7.513270451    8.737948553    8.737949188    8.737945397
    7.563352254    9.578348678    9.578349691    9.578345879
    7.613434057   10.203344652   10.203345875   10.203343303
    7.663515860   10.328578640   10.328580067   10.328578953
    7.713597663   10.120276357   10.120278028   10.120276932
    7.763679466   10.265001555   10.265002967   10.265001621
    7.813761269   10.379624068   10.379623311   10.379624170
    7.863843072   10.329593953   10.329592030   10.329594165
    7.913924875   10.366134013   10.366131686   10.366132604
    7.964006678   10.647813644   10.647810213   10.647811130
    8.014088481   10.169733302   10.169730184   10.169732343
    8.064170284    9.573382192    9.573381231    9.573381743
    8.114252087    9.716666440    9.716667254    9.716666464
    8.164333890   10.211557467   10.211559290   10.211558266
    8.214415693   10.827873194   10.827875178   10.827874548
    8.264497496   10.901731925   10.901733763   10.901734678
    8.314579299   10.496653223   10.496655737   10.496656611
    8.364661102   10.377760968   10.377763906   10.377763462
    8.414742905   10.193009664   10.193012274   10.193012900
    8.464824708    9.919220211    9.919223629    9.919225804
    8.514906511    9.817373408    9.817378423    9.817379308
    8.564988314   10.207574115   10.207579732   10.207577447
    8.615070117   10.983935679   10.983940981   10.983937836
    8.665151920   11.005964218   11.005967124   11.005965073
    8.715233723   10.093649283   10.093649473   10.093649764
    8.765315526    9.501861752    9.501860845    9.501862979
    8.815397329   10.160917973   10.160917000   10.160919224
    8.865479132   11.274327895   11.274328810   11.274329439
    8.915560935   11.917780448   11.917782788   11.917782365
    8.965642738   11.662184428   11.662184663   11.662186109
    9.015724541   11.432496624   11.432495311   11.432497972
    9.065806344   11.291305972   11.291304484   11.291308590
    9.115888147   11.250050114   11.250047929   11.250053072
    9.165969950   11.744302186   11.744299877   11.744304523
    9.216051753   12.208301953   12.208300601   12.208306193
    9.266133556   11.536372196   11.536370928   11.536379759
    9.316215359   10.480155537   10.480153410   10.480163781
    9.366297162    9.851108674    9.851104998    9.851114665
    9.416378965   10.081943393   10.081939176   10.081947791
    9.466460768   10.837249097   10.837244890   10.837251399
    9.516542571   11.684739226   11.684736080   11.684740108
    9.566624374   12.387104603   12.387102351   12.387104659
    9.616706177   11.967213605   11.967210505   11.967214086
    9.666787980   11.345161979   11.345158468   11.345161351
    9.716869783   11.775771242   11.775768081   11.775770433
    9.766951586   12.412204678   12.412202235   12.412205144
    9.817033389   12.362481427   12.362479675   12.362481022
    9.867115192   11.938564383   11.938564006   11.938563966
    9.917196995   11.796175868   11.796176940   11.796176358
    9.967278798   12.928545814   12.928547452   12.928545792
   10.017360601   14.079752091   14.079754799   14.079751435
   10.067442404   15.255269989   15.255274046   15.255270187
   10.117524207   15.566969901   15.566975227   15.566973815
   10.167606010   14.350199620   14.350205410   14.350205144
   10.217687813   12.545860480   12.545864471   12.545863277
   10.267769616   11.018056885   11.018055742   11.018054810
   10.317851419   11.302736661   11.302732927   11.302730893
   10.367933222   12.009854224   12.009852009   12.009850172
   10.418015025   11.999517091   11.999516067   11.999514823
   10.468096828   12.274640774   12.274641411   12.274638892
   10.518178631   13.549861464   13.549862781   13.549859563
   10.568260434   15.443824283   15.443825213   15.443822949
   10.618342237   16.743659245   16.743659766   16.743658484
   10.668424040   17.154663176   17.154664050   17.154661009
   10.718505843   16.947615503   16.947618313   16.947613250
   10.768587646   16.814672581   16.814675914   16.814667585
   10.818669449   17.590824180   17.590829227   17.590817666
   10.868751252   17.756161007   17.756167876   17.756158543
   10.918833055   17.770836982   17.770842462   17.770834043
   10.968914858   17.840335924   17.840338972   17.840331284
   11.018996661   17.272096983   17.272096680   17.272092166
   11.069078464   16.002600443   16.002597720   16.002594098
   11.119160267   13.368554932   13.368552360   13.368554459
   11.169242070    6.086824625    6.086824771    6.086833433
   11.219323873    2.492902672    2.492901822    2.492905104
   11.269405676    2.785636916    2.785636239    2.785638508
   11.319487479    3.299424104    3.299423914    3.299424489
   11.369569282    2.914311779    2.914311742    2.914312900
   11.419651085    1.673353859    1.673350158    1.673352493
   11.469732888    3.615696853    3.615690726    3.615691084
   11.519814691    6.092981611    6.092976859    6.092977683
   11.569896494    6.387562553    6.387560239    6.387564858
   11.619978297    1.333374842    1.333377379    1.333389569
   11.670060100   -8.734284128   -8.734279373   -8.734264413
   11.720141903  -15.753947436  -15.753943857  -15.753937898
   11.770223706  -17.004574932  -17.004572369  -17.004573907
   11.820305509  -15.306935346  -15.306933734  -15.306938811
   11.870387312  -12.246860567  -12.246859363  -12.246863763
   11.920469115   -9.876451760   -9.876450076   -9.876452638
   11.970550918   -9.005752612   -9.005749728   -9.005751714
   12.020632721   -8.835265249   -8.835262019   -8.835263287
   12.070714524   -8.134294091   -8.134290745   -8.134292210
   12.120796327   -7.338717206   -7.338713366   -7.338715820
   12.170878130   -7.021734278   -7.021732598   -7.021735823
   12.220959933   -6.506010775   -6.506009926   -6.506012652
   12.271041736   -6.011452712   -6.011451621   -6.011452572
   12.321123539   -5.585641967   -5.585641488   -5.585641293
   12.371205342   -4.790999138   -4.790999388   -4.790998432
   12.421287145   -3.974722093   -3.974723539   -3.974721316
   12.471368948   -3.526037292   -3.526039759   -3.526037262
   12.521450751   -3.076965227   -3.076967872   -3.076966304
   12.571532554   -2.298772067   -2.298773037   -2.298773400
   12.621614357   -1.273387021   -1.273386585   -1.273389045
   12.671696160   -0.840276365   -0.840275430   -0.840277623
   12.721777963   -0.908075231   -0.908074266   -0.908073419
   12.771859766   -0.827420957   -0.827419616   -0.827415685
   12.821941569   -0.961129651   -0.961128966   -0.961124012
   12.872023372   -1.041410085   -1.041410105   -1.041407413
   12.922105175   -1.321841652   -1.321840756   -1.321839243
   12.972186978   -2.402231956   -2.402229659   -2.402226734
   13.022268781   -3.805836954   -3.805833981   -3.805830652
   13.072350584   -5.552343468   -5.552339991   -5.552338156
   13.122432387   -6.791622645   -6.791619849   -6.791620164
   13.172514190   -6.972817894   -6.972816258   -6.972816254
   13.222595993   -6.722215799   -6.722215108   -6.722213789
   13.272677796   -6.713593479   -6.713594107   -6.713592285
   13.322759599   -6.818634040   -6.818634169   -6.818632898
   13.372841402   -6.901036177   -6.901035554   -6.901033413
   13.422923205   -7.231621466   -7.231620708   -7.231619164
   13.473005008   -7.205713739   -7.205713144   -7.205712574
   13.523086811   -6.489041978   -6.489043647   -6.489042477
   13.573168614   -5.391826648   -5.391828569   -5.391827033
   13.623250417   -4.971473625   -4.971473131   -4.971471877
   13.673332220   -5.029750470   -5.029749020   -5.029748586
   13.723414023   -4.884722882   -4.884723704   -4.884722938
   13.773495826   -4.679786501   -4.679790163   -4.679787354
   13.823577629   -4.646281189   -4.646285697   -4.646281912
   13.873659432   -4.790555459   -4.790559446   -4.790557480
   13.923741235   -4.635936926   -4.635939131   -4.635939734
   13.973823038   -4.289828374   -4.289829844   -4.289831379
   14.023904841   -3.620141086   -3.620143151   -3.620143259
   14.073986644   -2.988083643   -2.988086345   -2.988084665
   14.124068447   -3.280199380   -3.280201459   -3.280199499
   14.174150250   -3.725061423   -3.725062107   -3.725062525
   14.224232053   -3.592004035   -3.592003684   -3.592005772
   14.274313856   -3.331417619   -3.331418126   -3.331421431
   14.324395659   -2.878306887   -2.878307752   -2.878311660
   14.374477462   -2.466544079   -2.466544571   -2.466548183
   14.424559265   -2.287326408   -2.287326826   -2.287329514
   14.474641068   -2.405000388   -2.405003291   -2.405005014
   14.524722871   -2.408229534   -2.408234470   -2.408234967
   14.574804674   -2.431486255   -2.431490475   -2.431490255
   14.624886477   -2.263470109   -2.263472697   -2.263472938
   14.674968280   -2.402282773   -2.402283855   -2.402283851
   14.725050083   -2.943035328   -2.943034906   -2.943034831
   14.775131886   -3.588900656   -3.588899599   -3.588899832
   14.825213689   -3.794473072   -3.794471916   -3.794472932
   14.875295492   -3.512004790   -3.512003423   -3.512005290
   14.925377295   -3.480158643   -3.480157793   -3.480159023
   14.975459098   -3.357767782   -3.357767355   -3.357769089
   15.025540902   -3.120948722   -3.120949231   -3.120950954
   15.075622705   -3.077136304   -3.077137114   -3.077138558
   15.125704508   -3.144630956   -3.144631376   -3.144631792
   15.175786311   -3.608082975   -3.608083369   -3.608083436
   15.225868114   -4.052263902   -4.052263008   -4.052264511
   15.275949917   -4.148237976   -4.148235256   -4.148237811
   15.326031720   -4.078819448   -4.078816559   -4.078820095
   15.376113523   -3.919753054   -3.919750165   -3.919753881
   15.426195326   -3.515754449   -3.515750906   -3.515754457
   15.476277129   -3.384267168   -3.384262912   -3.384265548
   15.526358932   -4.155140536   -4.155135772   -4.155137883
   15.576440735   -4.470348545   -4.470344499   -4.470347116
   15.626522538   -4.415738611   -4.415735824   -4.415738586
   15.676604341   -4.369287009   -4.369285061   -4.369286923
   15.726686144   -4.565327266   -4.565326383   -4.565326356
   15.776767947   -4.935800489   -4.935801644   -4.935800778
   15.826849750   -5.038162565   -5.038164489   -5.038165421
   15.876931553   -4.982032764   -4.982033968   -4.982037136
   15.927013356   -5.090594114   -5.090595105   -5.090598394
   15.977095159   -4.834016636   -4.834017706   -4.834020476
   16.027176962   -4.512846364   -4.512847815   -4.512850237
   16.077258765   -4.348768195   -4.348770272   -4.348772897
   16.127340568   -3.950810245   -3.950813336   -3.950815679
   16.177422371   -3.508646705   -3.508651513   -3.508652229
   16.227504174   -3.251944802   -3.251949947   -3.251949422
   16.277585977   -3.314525712   -3.314529930   -3.314528998
   16.327667780   -3.540592034   -3.540596393   -3.540594160
   16.377749583   -3.615621803   -3.615627053   -3.615623540
   16.427831386   -3.356098736   -3.356104314   -3.356100346
   16.477913189   -3.507282992   -3.507287449   -3.507284174
   16.527994992   -3.955294466   -3.955296991   -3.955295202
   16.578076795   -4.058753508   -4.058754399   -4.058754061
   16.628158598   -3.827230977   -3.827231953   -3.827231991
   16.678240401   -3.571610445   -3.571611706   -3.571611681
   16.728322204   -3.290914978   -3.290915035   -3.290915171
   16.778404007   -3.159929328   -3.159928432   -3.159928919
   16.828485810   -3.094278724   -3.094277170   -3.094277934
   16.878567613   -2.772481222   -2.772479944   -2.772480366
   16.928649416   -2.611584818   -2.611584549   -2.611584075
   16.978731219   -2.814328002   -2.814328170   -2.814326932
   17.028813022   -2.935202861   -2.935202515   -2.935201334
   17.078894825   -2.797960900   -2.797960037   -2.797960350
   17.128976628   -2.741346465   -2.741345697   -2.741347509
   17.179058431   -2.772593162   -2.772592646   -2.772595294
   17.229140234   -2.945270108   -2.945269472   -2.945272000
   17.279222037   -3.068120983   -3.068120047   -3.068122631
