# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.001000000    6.453337936    6.453338020    6.453337821
    0.051081803    6.452956524    6.452956607    6.452956408
    0.101163606    6.452221075    6.452221159    6.452220960
    0.151245409    6.451239954    6.451240037    6.451239838
    0.201327212    6.450015271    6.450015354    6.450015156
    0.251409015    6.448547532    6.448547615    6.448547416
    0.301490818    6.446837277    6.446837360    6.446837162
    0.351572621    6.444885125    6.444885208    6.444885010
    0.401654424    6.442691777    6.442691860    6.442691662
    0.451736227    6.440258018    6.440258101    6.440257904
    0.501818030    6.437584717    6.437584800    6.437584603
    0.551899833    6.434672824    6.434672907    6.434672710
    0.601981636    6.431523372    6.431523454    6.431523258
    0.652063439    6.428137472    6.428137554    6.428137358
    0.702145242    6.424516317    6.424516399    6.424516203
    0.752227045    6.420661176    6.420661258    6.420661062
    0.802308848    6.416573395    6.416573477    6.416573282
    0.852390651    6.412254395    6.412254477    6.412254283
    0.902472454    6.407705671    6.407705753    6.407705559
    0.952554257    6.402928788    6.402928870    6.402928676
    1.002636060    6.397925383    6.397925464    6.397925272
    1.052717863    6.392697160    6.392697241    6.392697049
    1.102799666    6.387245890    6.387245970    6.387245779
    1.152881469    6.381573408    6.381573488    6.381573298
    1.202963272    6.375681613    6.375681693    6.375681503
    1.253045075    6.369572465    6.369572545    6.369572355
    1.303126878    6.363247980    6.363248060    6.363247871
    1.353208681    6.356710235    6.356710315    6.356710127
    1.403290484    6.349961359    6.349961438    6.349961251
    1.453372287    6.343003534    6.343003613    6.343003427
    1.503454090    6.335838994    6.335839072    6.335838887
    1.553535893    6.328470020    6.328470098    6.328469913
    1.603617696    6.320898940    6.320899018    6.320898834
    1.653699499    6.313128127    6.313128204    6.313128021
    1.703781302    6.305159995    6.305160072    6.305159890
    1.753863105    6.296996999    6.296997076    6.296996895
    1.803944908    6.288641632    6.288641709    6.288641528
    1.854026711    6.280096422    6.280096498    6.280096318
    1.904108514    6.271363930    6.271364006    6.271363828
    1.954190317    6.262446751    6.262446827    6.262446649
    2.004272120    6.253347508    6.253347583    6.253347407
    2.054353923    6.244068851    6.244068926    6.244068750
    2.104435726    6.234613455    6.234613530    6.234613355
    2.154517529    6.224984021    6.224984095    6.224983921
    2.204599332    6.215183268    6.215183341    6.215183169
    2.254681135    6.205213936    6.205214009    6.205213837
