# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.001000000    0.002321224    0.002321225    0.002321224
    0.051081803    0.120145161    0.120145209    0.120145168
    0.101163606    0.247546338    0.247546432    0.247546352
    0.151245409    0.396673365    0.396673503    0.396673385
    0.201327212    0.586760893    0.586761072    0.586760919
    0.251409015    0.853334597    0.853334811    0.853334630
    0.301490818    1.270989689    1.270989925    1.270989727
    0.351572621    2.013625562    2.013625797    2.013625609
    0.401654424    3.471625769    3.471625946    3.471625828
    0.451736227    5.915510877    5.915510839    5.915510873
    0.501818030    7.938102407    7.938102007    7.938102158
    0.551899833    6.335673123    6.335672944    6.335672901
    0.601981636    3.960407320    3.960407569    3.960407262
    0.652063439    2.958720882    2.958721381    2.958720921
    0.702145242    2.814838084    2.814838738    2.814838189
    0.752227045    3.323448332    3.323449122    3.323448517
    0.802308848    4.717583125    4.717584082    4.717583454
    0.852390651    6.843505206    6.843506290    6.843505687
    0.902472454    7.747723406    7.747724206    7.747723714
    0.952554257    9.279047962    9.279048179    9.279047968
    1.002636060   10.821569113   10.821568835   10.821568779
    1.052717863    9.974984559    9.974984463    9.974983984
    1.102799666    9.556512211    9.556512515    9.556511345
    1.152881469   12.063520925   12.063521191   12.063519281
    1.202963272   14.960914474   14.960914802   14.960912282
    1.253045075   16.652389583   16.652391124   16.652388363
    1.303126878   21.662433515   21.662436603   21.662433242
    1.353208681   24.109590948   24.109595036   24.109591166
    1.403290484   19.761540694   19.761544159   19.761540505
    1.453372287   17.188258283   17.188260908   17.188257218
    1.503454090   16.484736344   16.484738012   16.484734656
    1.553535893   16.398765301   16.398766704   16.398763971
    1.603617696   15.774741821   15.774743296   15.774740935
    1.653699499   15.621076348   15.621078053   15.621075501
    1.703781302   16.404851718   16.404853370   16.404850392
    1.753863105   17.984128448   17.984129844   17.984126611
    1.803944908   17.809372037   17.809373103   17.809370197
    1.854026711   17.587226518   17.587227227   17.587224403
    1.904108514   17.870132638   17.870133277   17.870130429
    1.954190317   16.757938432   16.757939743   16.757937537
    2.004272120   15.667640564   15.667642444   15.667640695
    2.054353923   16.009612412   16.009614256   16.009612794
    2.104435726   16.611990374   16.611991844   16.611990710
    2.154517529   16.556354654   16.556356089   16.556354778
    2.204599332   16.407930862   16.407932610   16.407930830
    2.254681135   16.244408125   16.244410372   16.244408103
    2.304762938   13.528944246   13.528946849   13.528944243
    2.354844741   10.595727634   10.595730328   10.595727747
    2.404926544    9.803603695    9.803606434    9.803603828
    2.455008347    9.865496296    9.865499119    9.865496417
    2.505090150    9.773178439    9.773181401    9.773178661
    2.555171953   10.557121306   10.557124383   10.557121585
    2.605253756   11.894709160   11.894712480   11.894709508
    2.655335559   12.489461335   12.489464957   12.489461853
    2.705417362   13.772593205   13.772596881   13.772593822
    2.755499165   14.832150371   14.832154085   14.832151154
    2.805580968   15.709830654   15.709834516   15.709831633
    2.855662771   16.081433070   16.081436934   16.081434106
    2.905744574   16.631931742   16.631935275   16.631932622
    2.955826377   18.268484517   18.268487941   18.268485448
    3.005908180   19.360510225   19.360514071   19.360511286
    3.055989983   19.586808099   19.586812405   19.586809268
    3.106071786   17.935585482   17.935589987   17.935586598
    3.156153589   16.184545289   16.184549820   16.184546160
    3.206235392   16.229541829   16.229546285   16.229542436
    3.256317195   16.897118123   16.897122643   16.897118779
    3.306398998   18.240251027   18.240255578   18.240251808
    3.356480801   19.431681968   19.431686745   19.431683017
    3.406562604   20.646059384   20.646064436   20.646060716
    3.456644407   21.734970566   21.734975818   21.734971956
    3.506726210   24.000411453   24.000416804   24.000412798
    3.556808013   26.494286263   26.494291658   26.494287734
    3.606889816   29.194440536   29.194446081   29.194442141
    3.656971619   30.418807721   30.418813534   30.418809161
    3.707053422   26.952699699   26.952705679   26.952700832
    3.757135225   22.668568586   22.668574695   22.668569636
    3.807217028   21.955506980   21.955513122   21.955508087
    3.857298831   23.213533346   23.213539568   23.213534632
    3.907380634   23.997396952   23.997403405   23.997398499
    3.957462437   22.870848624   22.870855445   22.870850360
    4.007544240   18.419117385   18.419124412   18.419119092
    4.057626043   13.939478227   13.939485214   13.939479817
    4.107707846   11.982870105   11.982877207   11.982871674
    4.157789649   11.000083867   11.000091191   11.000085565
    4.207871452   10.713598433   10.713605911   10.713600222
    4.257953255   10.188122182   10.188129855   10.188123949
    4.308035058    9.500226878    9.500234805    9.500228675
    4.358116861    9.088208383    9.088216610    9.088210266
    4.408198664    9.575963291    9.575971802    9.575965242
    4.458280467   10.411211940   10.411220527   10.411213880
    4.508362270   11.068130327   11.068138968   11.068132203
    4.558444073   11.447814873   11.447823743   11.447816663
    4.608525876   11.478431154   11.478440285   11.478432861
    4.658607679   11.393760785   11.393770158   11.393762510
    4.708689482   11.291802548   11.291812245   11.291804348
    4.758771285   10.826813272   10.826823231   10.826815091
    4.808853088    9.838694311    9.838704493    9.838696151
    4.858934891    9.149240744    9.149251139    9.149242650
    4.909016694    8.852701756    8.852712410    8.852703726
    4.959098497    8.934719090    8.934730041    8.934721071
    5.009180301    9.388220223    9.388231491    9.388222124
    5.059262104    9.034643127    9.034654678    9.034644935
    5.109343907    8.407765809    8.407777643    8.407767658
    5.159425710    7.445434950    7.445447155    7.445437023
    5.209507513    6.687111889    6.687124522    6.687114201
    5.259589316    6.384916553    6.384929558    6.384918974
    5.309671119    6.176983122    6.176996494    6.176985631
    5.359752922    6.051025193    6.051039022    6.051027792
    5.409834725    5.951934218    5.951948529    5.951936884
    5.459916528    5.868968268    5.868983051    5.868971035
    5.509998331    5.834052279    5.834067474    5.834055150
    5.560080134    5.671940976    5.671956567    5.671943955
    5.610161937    5.464129279    5.464145324    5.464132384
    5.660243740    5.498979094    5.498995678    5.498982359
    5.710325543    5.535968033    5.535985173    5.535971438
    5.760407346    5.610989029    5.611006718    5.610992522
    5.810489149    5.321861637    5.321879933    5.321865184
    5.860570952    4.546796687    4.546815697    4.546800334
    5.910652755    4.145309306    4.145329062    4.145313085
    5.960734558    3.982186250    3.982206705    3.982190134
    6.010816361    3.720495638    3.720516751    3.720499609
    6.060898164    3.587719637    3.587741417    3.587723712
    6.110979967    3.615299068    3.615321592    3.615303313
    6.161061770    3.620085280    3.620108592    3.620089719
    6.211143573    3.454827061    3.454851201    3.454831669
    6.261225376    3.110341371    3.110366497    3.110346192
    6.311307179    2.821262684    2.821288828    2.821267743
    6.361388982    2.774927206    2.774954349    2.774932508
    6.411470785    2.803474295    2.803502490    2.803479860
    6.461552588    2.606391125    2.606420447    2.606396913
    6.511634391    2.477834941    2.477865480    2.477840954
    6.561716194    2.372722421    2.372754258    2.372728644
    6.611797997    2.263611032    2.263644250    2.263617484
    6.661879800    2.302241957    2.302276629    2.302248686
    6.711961603    2.543006858    2.543043072    2.543013900
    6.762043406    2.735867174    2.735905079    2.735874562
    6.812125209    2.849013677    2.849053393    2.849021439
    6.862207012    2.962671462    2.962713111    2.962679647
    6.912288815    2.922669343    2.922713075    2.922677964
    6.962370618    2.653915572    2.653961540    2.653924638
    7.012452421    2.446475286    2.446523650    2.446484834
    7.062534224    2.424328956    2.424379854    2.424339034
    7.112616027    2.412981627    2.413035270    2.412992279
    7.162697830    2.199057757    2.199114408    2.199069005
    7.212779633    1.898168269    1.898228010    1.898180108
    7.262861436    1.616840615    1.616903851    1.616853166
    7.312943239    1.420113317    1.420180538    1.420126726
    7.363025042    1.354439693    1.354511225    1.354454018
    7.413106845    1.401184232    1.401260473    1.401199572
    7.463188648    1.453934080    1.454015458    1.453950520
    7.513270451    1.457972880    1.458059901    1.457990510
    7.563352254    1.486647467    1.486740805    1.486666441
    7.613434057    1.534613195    1.534713603    1.534633695
    7.663515860    1.583670681    1.583778995    1.583692897
    7.713597663    1.613571468    1.613688652    1.613595603
    7.763679466    1.686313987    1.686441189    1.686340276
    7.813761269    1.764091326    1.764229905    1.764120034
    7.863843072    1.872160162    1.872311761    1.872191554
    7.913924875    1.938304417    1.938471231    1.938338906
    7.964006678    2.019998273    2.020183261    2.020037291
    8.014088481    2.069082878    2.069288690    2.069127392
    8.064170284    2.129919251    2.130148274    2.129968942
    8.114252087    2.120559101    2.120815420    2.120615036
    8.164333890    1.870820581    1.871109247    1.870884636
    8.214415693    1.664899490    1.665228513    1.664974387
    8.264497496    1.570852725    1.571236418    1.570939907
    8.314579299    1.540488125    1.540943435    1.540588874
    8.364661102    1.464768581    1.465316329    1.464889859
    8.414742905    1.397674870    1.398344975    1.397825001
    8.464824708    1.436676745    1.437516759    1.436863499
    8.514906511    1.479404148    1.480490906    1.479636923
    8.564988314    1.479061342    1.480531374    1.479354297
    8.615070117    1.391450664    1.393572926    1.391824618
    8.665151920    1.267204932    1.270548007    1.267676878
    8.715233723    1.163755929    1.169541928    1.164406440
    8.765315526    1.152501831    1.162231784    1.154606123
    8.815397329    1.184821963    1.197581647    1.190637565
    8.865479132    1.211840017    1.223688953    1.217783645
    8.915560935    1.178079138    1.187219186    1.182077409
    8.965642738    1.146024002    1.153149838    1.148262198
    9.015724541    1.190226471    1.198203022    1.191709106
    9.065806344    1.207907361    1.218737268    1.208729955
    9.115888147    1.141259311    1.152234883    1.139627413
    9.165969950    1.085084098    1.093594525    1.082702977
    9.216051753    1.023827744    1.029880238    1.022991205
    9.266133556    0.980755183    0.986601915    0.981225091
    9.316215359    0.954002827    0.960268593    0.955236722
    9.366297162    0.881916372    0.886551527    0.882814643
    9.416378965    0.804507126    0.808045152    0.805045209
    9.466460768    0.768884784    0.772727895    0.769335363
    9.516542571    0.734702664    0.739837147    0.735219771
    9.566624374    0.703439375    0.707904297    0.703871245
    9.616706177    0.697759672    0.700359122    0.698011860
    9.666787980    0.700338463    0.701904138    0.700492458
    9.716869783    0.710278832    0.711332228    0.710384386
    9.766951586    0.730158401    0.730931762    0.730237853
    9.817033389    0.746460695    0.747067101    0.746524194
    9.867115192    0.746113885    0.746613550    0.746166857
    9.917196995    0.735708927    0.736139239    0.735755516
    9.967278798    0.753704912    0.754090888    0.753747099
   10.017360601    0.777292665    0.777656552    0.777332016
   10.067442404    0.807225341    0.807598882    0.807265122
   10.117524207    0.836215546    0.836660421    0.836256384
   10.167606010    0.831979643    0.832580106    0.831951920
   10.217687813    0.779435939    0.779998902    0.779342570
