# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.001000000*********************************************
    0.051081803   -7.746416791   -8.639502094   -9.407328045
    0.101163606   15.173040219   14.945798657   14.749651246
    0.151245409   19.683667187   19.582347521   19.494313713
    0.201327212   21.500546394   21.443637611   21.393733813
    0.251409015   22.624546419   22.588276729   22.556092962
    0.301490818   23.580520355   23.555490292   23.532956343
    0.351572621   24.557549205   24.539308015   24.522602530
    0.401654424   25.454962929   25.441133571   25.428215626
    0.451736227   25.322642327   25.311840704   25.301521780
    0.501818030   22.824003798   22.815370004   22.806911215
    0.551899833   19.848730697   19.841702290   19.834620403
    0.601981636   20.089767592   20.083960611   20.077926580
    0.652063439   21.434497774   21.429641733   21.424423489
    0.702145242   22.926086862   22.921985745   22.917414934
    0.752227045   24.484178764   24.480686997   24.476638553
    0.802308848   25.921903475   25.918910633   25.915289716
    0.852390651   26.165610305   26.163030964   26.159764342
    0.902472454   25.757329780   25.755097045   25.752127258
    0.952554257   26.141386033   26.139447130   26.136728324
    1.002636060   24.639623334   24.637936066   24.635430979
    1.052717863   23.702408856   23.700938550   23.698617158
    1.102799666   25.401575487   25.400292979   25.398130986
    1.152881469   27.278197553   27.277078988   27.275056198
    1.202963272   26.332543949   26.331570204   26.329669863
    1.253045075   26.434653499   26.433807625   26.432015128
    1.303126878   25.260724021   25.259990785   25.258293748
    1.353208681   18.087693171   18.087059107   18.085447761
    1.403290484   14.047396019   14.046850919   14.045315898
    1.453372287   14.246783182   14.246318799   14.244852210
    1.503454090   14.812444714   14.812053938   14.810649079
    1.553535893   14.496740676   14.496417055   14.495067560
    1.603617696   14.365919860   14.365657204   14.364357349
    1.653699499   14.806510431   14.806303139   14.805048314
    1.703781302   15.331412830   15.331256060   15.330042582
    1.753863105   14.418021308   14.417911026   14.416735761
    1.803944908   12.662192382   12.662125145   12.660984719
    1.854026711   12.228082697   12.228055424   12.226946585
    1.904108514   10.993800171   10.993810380   10.992730946
    1.954190317    9.740569482    9.740614289    9.739561835
    2.004272120   10.034795416   10.034871714   10.033843525
    2.054353923   10.450067815   10.450173304   10.449167567
    2.104435726    9.818198477    9.818331761    9.817346438
    2.154517529    8.707983482    8.708143167    8.707176511
    2.204599332    7.990255601    7.990440057    7.989490995
    2.254681135    6.102928846    6.103136352    6.102203802
    2.304762938    4.398534931    4.398763868    4.397846988
    2.354844741    5.642997392    5.643246615    5.642344166
    2.404926544    7.837154428    7.837422961    7.836533750
    2.455008347    9.069726380    9.070013321    9.069136414
    2.505090150   10.345230027   10.345534434   10.344668997
    2.555171953   11.906781264   11.907102329   11.906247444
    2.605253756   12.266643175   12.266980171   12.266135151
    2.655335559   12.726588248   12.726940246   12.726104526
    2.705417362   12.945938185   12.946304476   12.945477443
    2.755499165   12.804825455   12.805205625   12.804386498
    2.805580968   12.199942366   12.200335820   12.199523967
    2.855662771   11.797353860   11.797759910   11.796954822
    2.905744574   12.006718507   12.007136939   12.006338067
    2.955826377   11.624339555   11.624770401   11.623976949
    3.005908180   10.141371446   10.141814249   10.141025722
    3.055989983    8.081950304    8.082404197    8.081620521
    3.106071786    6.436858428    6.437322998    6.436543833
    3.156153589    7.253909959    7.254384902    7.253609910
    3.206235392    8.569283099    8.569768356    8.568997325
    3.256317195    9.512770299    9.513265658    9.512498232
    3.306398998    9.938793553    9.939298837    9.938534563
    3.356480801    9.825293638    9.825808679    9.825047108
    3.406562604    9.537337192    9.537861616    9.537102401
    3.456644407    9.432818997    9.433352560    9.432595368
    3.506726210    9.236869021    9.237411543    9.236656299
    3.556808013    7.729062882    7.729614339    7.728860693
    3.606889816    4.941994103    4.942554438    4.941801828
    3.656971619   -0.465328272   -0.464759275   -0.465511050
    3.707053422   -5.465686951   -5.465109477   -5.465860263
    3.757135225   -5.556479878   -5.555894019   -5.556643868
    3.807217028   -3.941744571   -3.941150348   -3.941899584
    3.857298831   -4.453555884   -4.452953231   -4.453702257
    3.907380634   -6.884843480   -6.884232409   -6.884981616
    3.957462437  -10.891710296  -10.891091025  -10.891840678
    4.007544240  -13.645386933  -13.644759713  -13.645509796
    4.057626043  -12.575535135  -12.574899813  -12.575650554
    4.107707846  -10.508670740  -10.508027147  -10.508778810
    4.157789649   -8.990750811   -8.990099042   -8.990851772
    4.207871452   -7.900943978   -7.900284063   -7.901038185
    4.257953255   -7.387162057   -7.386493910   -7.387249643
    4.308035058   -6.626966748   -6.626290380   -6.627047812
    4.358116861   -5.418282237   -5.417597661   -5.418356991
    4.408198664   -4.250723029   -4.250030342   -4.250791700
    4.458280467   -3.862848228   -3.862147389   -3.862910971
    4.508362270   -4.020246307   -4.019537039   -4.020303234
    4.558444073   -4.475103460   -4.474385652   -4.475154629
    4.608525876   -4.968865929   -4.968139608   -4.968911396
    4.658607679   -5.415215142   -5.414480200   -5.415254968
    4.708689482   -5.909413757   -5.908670136   -5.909448131
    4.758771285   -6.647242470   -6.646490157   -6.647271523
    4.808853088   -6.920490530   -6.919729365   -6.920514313
    4.858934891   -6.555955442   -6.555185283   -6.555974053
