# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.001000000   22.782093524   22.782719127   22.782212782
    0.051081803   22.665115729   22.665741283   22.665234980
    0.101163606   22.451282153   22.451907610   22.451401389
    0.151245409   22.187579156   22.188204483   22.187698373
    0.201327212   21.887144397   21.887769558   21.887263590
    0.251409015   21.561043450   21.561668409   21.561162613
    0.301490818   21.218159978   21.218784699   21.218279106
    0.351572621   20.865201036   20.865825482   20.865320122
    0.401654424   20.507020314   20.507644447   20.507139352
    0.451736227   20.147041102   20.147664884   20.147160086
    0.501818030   19.787651155   19.788274550   19.787770079
    0.551899833   19.430518546   19.431141516   19.430637403
    0.601981636   19.076822313   19.077444822   19.076941097
    0.652063439   18.727411244   18.728033254   18.727529948
    0.702145242   18.382908967   18.383530441   18.383027583
    0.752227045   18.043781851   18.044402753   18.043900375
    0.802308848   17.710382419   17.711002713   17.710500842
    0.852390651   17.382977203   17.383596854   17.383095520
    0.902472454   17.061765027   17.062383998   17.061883229
    0.952554257   16.746889452   16.747507709   16.747007534
    1.002636060   16.438447755   16.439065262   16.438565710
    1.052717863   16.136497790   16.137114514   16.136615611
    1.102799666   15.841063568   15.841679474   15.841181249
    1.152881469   15.552139982   15.552755036   15.552257515
    1.202963272   15.269696946   15.270311115   15.269814326
    1.253045075   14.993683082   14.994296332   14.993800301
    1.303126878   14.724029008   14.724641306   14.724146061
    1.353208681   14.460650301   14.461261614   14.460767180
    1.403290484   14.203450131   14.204060428   14.203566830
    1.453372287   13.952321608   13.952930857   13.952438122
    1.503454090   13.707149853   13.707758021   13.707266174
    1.553535893   13.467813807   13.468420864   13.467929930
    1.603617696   13.234187813   13.234793729   13.234303732
    1.653699499   13.006142982   13.006747725   13.006258690
    1.703781302   12.783548354   12.784151896   12.783663846
    1.753863105   12.566271902   12.566874211   12.566387171
    1.803944908   12.354181363   12.354782412   12.354296404
    1.854026711   12.147144947   12.147744706   12.147259754
