# Frequency (THz)  Intensity (SI)  Wavenumber (cm-1)
   -0.0000      5.0744e-06       -0.0000
    0.0000      2.8998e-06        0.0000
    0.0000      1.5835e-06        0.0000
    4.3196      8.7154e-10      129.4997
    5.7663      1.4344e-05      172.8689
    7.9870      7.3709e-06      239.4433
    8.0154      2.1070e-06      240.2949
    9.8937      1.3388e-05      296.6052
    9.8984      7.8855e-06      296.7474
   12.8958      1.4222e-09      386.6053
   13.6577      7.8366e-07      409.4461
   14.3059      4.0630e-13      428.8797
   14.4269      1.9131e-13      432.5082
   17.6438      4.3712e-07      528.9468
   17.6643      2.4490e-07      529.5637
   17.9094      1.0384e-06      536.9109
   19.3261      1.1835e-11      579.3810
   23.6686      5.1753e-12      709.5663
